(base) D:\Chris\Documents\北京大学\机器学习\大作业\ADMET_RNN>train20200101.py
    count: 0---loss: 1.153
    count: 5---loss: 0.954
    count: 10---loss: 0.977
Validation Score over Epoch 3: 0.873
    count: 0---loss: 0.854
    count: 5---loss: 0.838
    count: 10---loss: 0.864
    count: 0---loss: 1.091
    count: 5---loss: 0.914
    count: 10---loss: 0.846
    count: 0---loss: 0.957
    count: 5---loss: 0.759
    count: 10---loss: 0.999
    count: 0---loss: 1.061
    count: 5---loss: 0.756
    count: 10---loss: 1.143
    count: 0---loss: 1.046
    count: 5---loss: 0.907
    count: 10---loss: 1.097
Validation Score over Epoch 4: 0.813
    count: 0---loss: 0.966
    count: 5---loss: 0.747
    count: 10---loss: 1.070
    count: 0---loss: 0.976
    count: 5---loss: 0.861
    count: 10---loss: 0.902
    count: 0---loss: 0.546
    count: 5---loss: 0.806
    count: 10---loss: 0.920
    count: 0---loss: 1.059
    count: 5---loss: 0.852
    count: 10---loss: 1.005
    count: 0---loss: 1.021
    count: 5---loss: 0.693
    count: 10---loss: 0.902
Validation Score over Epoch 5: 0.765
    count: 0---loss: 0.637
    count: 5---loss: 0.741
    count: 10---loss: 0.912
    count: 0---loss: 0.773
    count: 5---loss: 0.730
    count: 10---loss: 0.879
    count: 0---loss: 0.911
    count: 5---loss: 0.848
    count: 10---loss: 1.088
    count: 0---loss: 0.972
    count: 5---loss: 0.812
    count: 10---loss: 0.892
    count: 0---loss: 0.945
    count: 5---loss: 0.559
    count: 10---loss: 0.851
Validation Score over Epoch 6: 0.742
    count: 0---loss: 0.604
    count: 5---loss: 0.586
    count: 10---loss: 0.871
    count: 0---loss: 0.834
    count: 5---loss: 0.742
    count: 10---loss: 0.709
    count: 0---loss: 0.829
    count: 5---loss: 0.767
    count: 10---loss: 0.839
    count: 0---loss: 0.891
    count: 5---loss: 0.706
    count: 10---loss: 0.943
    count: 0---loss: 0.758
    count: 5---loss: 0.738
    count: 10---loss: 0.859
Validation Score over Epoch 7: 0.694
    count: 0---loss: 0.759
    count: 5---loss: 0.730
    count: 10---loss: 0.903
    count: 0---loss: 0.761
    count: 5---loss: 0.707
    count: 10---loss: 0.746
    count: 0---loss: 0.597
    count: 5---loss: 0.703
    count: 10---loss: 0.753
    count: 0---loss: 0.820
    count: 5---loss: 0.677
    count: 10---loss: 0.781
    count: 0---loss: 0.721
    count: 5---loss: 0.497
    count: 10---loss: 0.826
Validation Score over Epoch 8: 0.683
    count: 0---loss: 0.817
    count: 5---loss: 0.623
    count: 10---loss: 0.725
    count: 0---loss: 0.656
    count: 5---loss: 0.575
    count: 10---loss: 0.613
    count: 0---loss: 0.705
    count: 5---loss: 0.641
    count: 10---loss: 0.733
    count: 0---loss: 0.713
    count: 5---loss: 0.576
    count: 10---loss: 0.808
    count: 0---loss: 0.517
    count: 5---loss: 0.689
    count: 10---loss: 0.835
Validation Score over Epoch 9: 0.654
process ended
